TakeNr;In;Startzeit;Out;Endzeit;Typ;Marker1;Marker2;Bemerkung;Source;Text
52.0;01:03:48:08;00:03:48:08;01:03:51:24;00:03:51:24;Ü;;;;ROACH;(LACHEN)
;;00;;00;;;;;;
52.0;01:03:48:08;00:03:48:08;01:03:51:24;00:03:51:24;Ü;;;;STEDE;Ja!
;;00;;00;;;;;;
52.0;01:03:48:08;00:03:48:08;01:03:51:24;00:03:51:24;Ü;;;;SCHWEDE;Okay.
;;00;;00;;;;;;
53.0;01:03:50:23;00:03:50:23;01:03:56:21;00:03:56:21;Ü;;;;SPANISH JACKIE;(INS ON) Nein, nein, nein, nein, nein. Nicht du. Nicht du. .. Nimm Platz. (2.F.: Setz dich.) .. (OFF) (LACHER)
;;00;;00;;;;;;
54.0;01:03:56:18;00:03:56:18;01:04:00:14;00:04:00:14;Ü;;;;STEDE;Okay.
;;00;;00;;;;;;
54.0;01:03:56:18;00:03:56:18;01:04:00:14;00:04:00:14;Ü;;;;OLUWANDE;Bis dann, Kumpel.
;;00;;00;;;;;;
54.0;01:03:56:18;00:03:56:18;01:04:00:14;00:04:00:14;Ü;;;;BLACK PETE;(OFF) Danke, Schwede.
;;00;;00;;;;;;
55.0;01:04:00:14;00:04:00:14;01:04:04:02;00:04:04:02;;;;;SPANISH JACKIE;Rück näher ran. (KL LAUT) Spanish Jackie wird (schon) nicht beißen. 
;;00;;00;;;;;;
56.0;01:04:04:02;00:04:04:02;01:04:09:15;00:04:09:15;;;;;SPANISH JACKIE;(LACHER) (ATMER) Kleine Lüge. .. Ich beiße.
;;00;;00;;;;;;
56.0;01:04:04:02;00:04:04:02;01:04:09:15;00:04:09:15;;;;;SCHWEDE;(ÜBERL) (SEUFZER) .. (LACHEN)
;;00;;00;;;;;;
56.0;01:04:04:02;00:04:04:02;01:04:09:15;00:04:09:15;;;;;SPANISH JACKIE;(ÜBERL) (LACHEN)
;;00;;00;;;;;;
57.0;01:04:09:15;00:04:09:15;01:04:15:01;00:04:15:01;;;;;MANN 1;(SCHREI)
;;00;;00;;;;;;
57.0;01:04:09:15;00:04:09:15;01:04:15:01;00:04:15:01;;;;;WOMAN;(ÜBERL) (LACHEN)
;;00;;00;;;;;;
57.0;01:04:09:15;00:04:09:15;01:04:15:01;00:04:15:01;;;;;WEE JOHN FEENEY;(ÜBERL) Okay. (LAUT) Abmarsch!
;;00;;00;;;;;;
57.0;01:04:09:15;00:04:09:15;01:04:15:01;00:04:15:01;;;;;IT;(Unverständl. Durcheinander) (Allg. HG) (+ Archiv) (auch ff Takes)
;;00;;00;;;;;;
58.0;01:04:15:01;00:04:15:01;01:04:18:09;00:04:18:09;;;;;STEDE;"Guten Abend. Willkommen bei Spanish Jackie('s)"". Reservierung?"""
;;00;;00;;;;;;
59.0;01:04:18:09;00:04:18:09;01:04:23:20;00:04:23:20;;;;;SCARIEST GUY;Friss meine verfluchte Scheiße!
;;00;;00;;;;;;
59.0;01:04:18:09;00:04:18:09;01:04:23:20;00:04:23:20;;;;;STEDE;Wie schön. (Zög) Laufkundschaft.
;;00;;00;;;;;;
59.0;01:04:18:09;00:04:18:09;01:04:23:20;00:04:23:20;;;;;SCARIEST GUY;(LAUT)
;;00;;00;;;;;;
60.0;01:04:23:20;00:04:23:20;01:04:26:14;00:04:26:14;;;;;STEDE;Ich habe ein Filetstück von Tisch für Sie. Folgen Sie mir.
;;00;;00;;;;;;
61.0;01:04:26:01;00:04:26:01;01:04:30:07;00:04:30:07;Ü;;;;MANN 1;(LAUT) Meine Lieblingshand!
;;00;;00;;;;;;
61.0;01:04:26:01;00:04:26:01;01:04:30:07;00:04:30:07;Ü;;;;WOMAN;Er hat angefangen.
;;00;;00;;;;;;
61.0;01:04:26:01;00:04:26:01;01:04:30:07;00:04:30:07;Ü;;;;WEE JOHN FEENEY;Was hab ich zu Messerstechereien gesagt?
;;00;;00;;;;;;
62.0;01:04:30:07;00:04:30:07;01:04:34:09;00:04:34:09;;;;;STEDE VO;(VO) Man könnte sagen, wir befinden uns als Crew in einer Wiederaufbauphase. (2.F.: Umstrukturierungsphase.)
;;00;;00;;;;;;
63.0;01:04:34:09;00:04:34:09;01:04:35:10;00:04:35:10;A;;;;IT;(HG )
;;00;;00;;;;;;
64.0;01:04:35:10;00:04:35:10;01:04:38:04;00:04:38:04;;;;;ROACH;Bestellt! (2.F.: Bestellung!)
;;00;;00;;;;;;
64.0;01:04:35:10;00:04:35:10;01:04:38:04;00:04:38:04;;;;;MANN 2;(OFF) Das ist für Mama!
;;00;;00;;;;;;
64.0;01:04:35:10;00:04:35:10;01:04:38:04;00:04:38:04;;;;;IT;(JUBELN) (LACHEN)
;;00;;00;;;;;;
65.0;01:04:38:04;00:04:38:04;01:04:41:07;00:04:41:07;;;;;BLACK PETE;Herrgott... Sehr nett. .. Äußerst erwachsen.
;;00;;00;;;;;;
66.0;01:04:41:07;00:04:41:07;01:04:45:20;00:04:45:20;;;;;STEDE VO;(VO) Wir konnten zeigen, was wir drauf haben.
;;00;;00;;;;;;
66.0;01:04:41:07;00:04:41:07;01:04:45:20;00:04:45:20;;;;;STEDE;Bitte sehr.
;;00;;00;;;;;;
66.0;01:04:41:07;00:04:41:07;01:04:45:20;00:04:45:20;;;;;STEDE VO;(VO) Als Team. (2.F.: Als Mannschaft.)
;;00;;00;;;;;;
66.0;01:04:41:07;00:04:41:07;01:04:45:20;00:04:45:20;;;;;STEDE;Gefällt Ihnen der Tisch?
;;00;;00;;;;;;
67.0;01:04:45:20;00:04:45:20;01:04:49:09;00:04:49:09;;;;;SCARIEST GUY;Fick dich!
;;00;;00;;;;;;
67.0;01:04:45:20;00:04:45:20;01:04:49:09;00:04:49:09;;;;;STEDE;Zauberhaft. .. Oh, das klingt gut, Buttons.
;;00;;00;;;;;;
68.0;01:04:49:09;00:04:49:09;01:04:54:22;00:04:54:22;;;;;BUTTONS;Wann können wir mal wieder zur See fahren, Captain?
;;00;;00;;;;;;
68.0;01:04:49:09;00:04:49:09;01:04:54:22;00:04:54:22;;;;;STEDE;Demnächst. (Zög) Wir müssen noch etwas mehr Geld anhäufen.
;;00;;00;;;;;;
69.0;01:04:54:22;00:04:54:22;01:04:59:10;00:04:59:10;;;;;STEDE VO;(VO) Die Moral ist so hoch, wie nie zuvor. (Zög) Es ist ein goldenes Zeitalter.
;;00;;00;;;;;;
69.0;01:04:54:22;00:04:54:22;01:04:59:10;00:04:59:10;;;;;WOMAN 2;(überl) (Text)
;;00;;00;;;;;;
70.0;01:04:59:10;00:04:59:10;01:05:03:20;00:05:03:20;;;;;STEDE;Gib mir irgendwas Hartes, Olu. Bitte.
;;00;;00;;;;;;
70.0;01:04:59:10;00:04:59:10;01:05:03:20;00:05:03:20;;;;;OLUWANDE;Die Getränke gehen nicht auf's Haus, das wissen Sie?
;;00;;00;;;;;;
71.0;01:05:03:20;00:05:03:20;01:05:09:19;00:05:09:19;;;;;STEDE;Oh, komm schon, bitte.
;;00;;00;;;;;;
71.0;01:05:03:20;00:05:03:20;01:05:09:19;00:05:09:19;;;;;RICKY;(INS ON) Ich (Winz Zög) spendiere Ihnen gerne einen Drink.
;;00;;00;;;;;;
71.0;01:05:03:20;00:05:03:20;01:05:09:19;00:05:09:19;;;;;STEDE;(OFF) Oh! Vielen Dank.
;;00;;00;;;;;;
72.0;01:05:09:19;00:05:09:19;01:05:17:03;00:05:17:03;;;;;RICKY;(Anatmer) Äh, Richard Banes. Meine Freunde (Winz Zög) nennen mich Ricky. .. (CONT) (Und) Sie sind Stede Bonnet, nicht wahr?
;;00;;00;;;;;;
73.0;01:05:17:03;00:05:17:03;01:05:20:12;00:05:20:12;;;;;STEDE;(OFF) Ich fürchte, ich hab keine Ahnung, was Sie sagen (Zög) und wer er ist. .. 
;;00;;00;;;;;;
74.0;01:05:20:12;00:05:20:12;01:05:23:01;00:05:23:01;;;;;STEDE;(ON) Oh, mein Typ wird verlangt. (Zög) Entschuldigen Sie mich.
;;00;;00;;;;;;
75.0;01:05:23:01;00:05:23:01;01:05:32:10;00:05:32:10;;;;;STEDE VO;(VO) Wie gesagt, es geht uns toll. (Zög) Dir hoffentlich auch. .. Ich denk an dich. (Zög) Oft.
;;00;;00;;;;;;
76.0;01:05:32:10;00:05:32:10;01:05:36:02;00:05:36:02;A;;;;;
;;00;;00;;;;;;
77.0;01:05:36:02;00:05:36:02;01:05:38:17;00:05:38:17;;;;;IZZY;(OFF) Wir nähern uns dem Schiff, Captain.
;;00;;00;;;;;;
78.0;01:05:38:17;00:05:38:17;01:05:42:06;00:05:42:06;;;;;STEDE VO;(VO) Ich hoffe, du denkst an mich (Winz Zög) ebenfalls.
;;00;;00;;;;;;
79.0;01:05:40:09;00:05:40:09;01:05:47:10;00:05:47:10;Ü;;;;BLACKBEARD;(CONT) (ÜBERL) (ATMER) (SEUFZER)
;;00;;00;;;;;;
79.0;01:05:40:09;00:05:40:09;01:05:47:10;00:05:47:10;Ü;;;;BLACKBEARD;(CONT) Wird Zeit, dass wir endlich zu dem scheiß Schiff kommen. (Zög) Hat ewig gedauert.
;;00;;00;;;;;;
79.0;01:05:40:09;00:05:40:09;01:05:47:10;00:05:47:10;Ü;;;;ON-SCREEN TEXT;Vertraue niemandem
;;00;;00;;;;;;
80.0;01:05:47:10;00:05:47:10;01:05:49:15;00:05:49:15;;;;;STEDE VO;(VO) Ich weiß, die Chancen, dich zu finden, sind gering.
;;00;;00;;;;;;
81.0;01:05:49:15;00:05:49:15;01:05:55:14;00:05:55:14;;;;;STEDE;(ATMER) Ich werd' dich finden, Ed. .. (KUSS)
;;00;;00;;;;;;
82.0;01:05:55:14;00:05:55:14;01:05:58:18;00:05:58:18;;;;;STEDE VO;(VO) Aber ebenso waren die Chancen, als wir uns zum ersten Mal fanden...
;;00;;00;;;;;;
83.0;01:05:58:18;00:05:58:18;01:06:00:11;00:06:00:11;A;;;;;
;;00;;00;;;;;;
84.0;01:06:00:11;00:06:00:11;01:06:04:10;00:06:04:10;;;;;PRIESTER;(VORGEZ TON) Die Menschheit ist von Natur aus niederträchtig und gemein. .. 
;;00;;00;;;;;;
85.0;01:06:04:10;00:06:04:10;01:06:12:20;00:06:12:20;;;;;PRIESTER;Es ist die Pflicht der Menschen von Ansehen, wie ihr es seid, das gemeine, menschliche Gesindel durch den heiligen Akt (INS ON) der Ehe emporzuheben. .. 
;;00;;00;;;;;;
86.0;01:06:12:20;00:06:12:20;01:06:17:21;00:06:17:21;;;;;PRIESTER;Wer etwas gegen diese Verbindung vorzubringen hat, (Zög) möge jetzt sprechen oder für immer schweigen.
;;00;;00;;;;;;
87.0;01:06:17:21;00:06:17:21;01:06:21:23;00:06:21:23;;;;;BLACKBEARD;(OFF) Einspruch.
;;00;;00;;;;;;
87.0;01:06:17:21;00:06:17:21;01:06:21:23;00:06:21:23;;;;;2 FRAUEN, 2 MÄNNER;(REAKTION IT)  (evtl) (Spitzen)
;;00;;00;;;;;;
88.0;01:06:21:23;00:06:21:23;01:06:24:21;00:06:24:21;;;;;PRIESTER;Was für ein Dämon ist das?
;;00;;00;;;;;;
89.0;01:06:24:21;00:06:24:21;01:06:29:05;00:06:29:05;;;;;BLACKBEARD;Dämon? .. Ich bin der verfluchte Teufel.
;;00;;00;;;;;;
90.0;01:06:29:05;00:06:29:05;01:06:37:08;00:06:37:08;;;;;2 FRAUEN, 2 MÄNNER;(REAKTION IT) ... (Reaktion IT) (evtl) (Spitzen)
;;00;;00;;;;;;
91.0;01:06:31:23;00:06:31:23;01:06:33:24;00:06:33:24;Ü;;;;BLACKBEARD;(Und) das sind die Kinder.
;;00;;00;;;;;;
92.0;01:06:33:24;00:06:33:24;01:06:36:02;00:06:36:02;A;;;;;
;;00;;00;;;;;;
93.0;01:06:36:02;00:06:36:02;01:06:37:10;00:06:37:10;;;;;PRIESTER;Wachen!
;;00;;00;;;;;;
94.0;01:06:37:10;00:06:37:10;01:06:39:15;00:06:39:15;;;;;IZZY;evtl (SCHREIE)
;;00;;00;;;;;;
94.0;01:06:37:10;00:06:37:10;01:06:39:15;00:06:39:15;;;;;IT;(SCHREIE)
;;00;;00;;;;;;
95.0;01:06:39:15;00:06:39:15;01:06:46:20;00:06:46:20;A;;;;IT;(KAMPFLAUTE)
;;00;;00;;;;;;
96.0;01:06:46:20;00:06:46:20;01:06:51:15;00:06:51:15;;;;;JIM;(evtl Laute) (SCHREI)
;;00;;00;;;;;;
97.0;01:06:51:15;00:06:51:15;01:06:52:15;00:06:52:15;A;;;;IT;(KAMPFLAUTE) (Laute)
;;00;;00;;;;;;
98.0;01:06:51:13;00:06:51:13;01:06:56:17;00:06:56:17;;;;;FANG;(LAUT)
;;00;;00;;;;;;
98.0;01:06:51:13;00:06:51:13;01:06:56:17;00:06:56:17;;;;;FRENCHIE;(HEULEN)
;;00;;00;;;;;;
99.0;01:06:56:17;00:06:56:17;01:06:58:11;00:06:58:11;;;;;NARRATIVE TITLE;Dienstag
;;00;;00;;;;;;
100.0;01:06:58:11;00:06:58:11;01:07:00:06;00:07:00:06;;;;;FANG;(LAUT)
;;00;;00;;;;;;
100.0;01:06:58:11;00:06:58:11;01:07:00:06;00:07:00:06;;;;;2 TYPEN;(EVTL) (LAUT)
;;00;;00;;;;;;
100.0;01:06:58:11;00:06:58:11;01:07:00:06;00:07:00:06;;;;;NARRATIVE TITLE;Der Tag davor
;;00;;00;;;;;;
